House ID,Built_Date,Priced_date,Garden,dock_dist,capital_dist,royalMarket_dist,guardingTower_dist,river_dist,renovation,dining,bedroom,bathroom,kingVisit,curse,blessing,farm_land,location,holy_tree,knight_house_dist,builder
"6e32cec0
",1602,1609,0,138.600639,0.256239,69.486467,14.394903,63.109038,0,3,4,NaN,0,0,160,1,0,1,10.505662,0
"6e32ceda
",1603,1611,0,10.998322,122.930753,63.794375,53.019891,17.045949,0,4,3,3,0,0,37,2,1,1,132.934312,0
"6e32cf09
",1603,1610,0,52.819705,80.970959,96.656914,70.965631,6.548119,0,2,2,3,0,0,79,1,3,1,91.425357,0
"6e32cfa9
",1606,1608,0,82.283966,4.331436,29.043012,119.126593,24.298255,0,NaN,2,3,0,1,156,1,3,0,14.695102,0
"6e32cfb7
",1603,1611,0,34.524141,NaN,6.740951,222.341302,1.821655,0,4,2,4,0,0,74,1,1,1,NaN,0
"6e32cfd5
",1601,1611,NaN,38.877415,25.065928,NaN,76.196189,1.257721,0,3,3,3,0,0,135,2,2,NaN,35.568437,0
"6e32d0c0
",1606,1610,0,35.988844,4.570255,67.579542,157.877738,15.756025,0,2,3,4,0,0,155,1,1,1,15.068711,0
"6e32d0f3
",1606,1611,0,83.914728,107.184545,57.067604,147.898157,55.592034,0,2,4,4,0,1,53,1,1,NaN,117.410316,0
"6e32d166
",1602,1607,0,64.288283,101.610694,NaN,204.669501,60.009117,0,2,4,3,0,0,58,1,1,1,112.494554,0
"6e32d234
",1605,1608,0,59.504656,29.541134,3.366960,63.397907,21.391704,0,4,3,3,0,0,130,2,0,1,40.454345,0
"6e32d244
",1604,1610,0,74.890453,17.524012,NaN,86.880636,77.993602,0,NaN,4,3,0,0,142,1,0,1,27.655990,0
"6e32d266
",1603,1611,0,1.624838,55.126870,NaN,163.885000,16.102894,1,NaN,4,4,0,1,105,1,0,0,65.487434,0
"6e32d280
",1601,1608,0,13.140060,23.920629,7.363083,154.780872,15.867466,0,3,4,2,0,0,136,1,0,1,34.604391,0
"6e32d28a
",1606,1608,1,25.738221,67.262718,31.834800,84.042989,7.106701,0,4,3,4,1,0,93,0,0,1,77.441446,0
"6e32d2e0
",1604,1608,0,86.072564,85.923206,85.563521,146.862456,12.638273,0,2,2,3,0,1,74,1,3,NaN,96.737140,0
"6e32d315
",1602,1607,0,51.245386,22.260774,9.938782,96.415385,5.789836,0,NaN,NaN,3,0,0,138,2,NaN,NaN,33.157025,0
"6e32d328
",1606,1609,0,34.410733,16.638938,NaN,50.512115,15.009420,1,2,4,4,0,1,143,1,1,0,27.320449,0
"6e32d349
",1602,1609,1,67.171839,73.733494,22.279648,104.567561,43.619874,0,3,2,3,1,0,86,0,1,NaN,84.146593,0
"6e32d3a6
",1606,1609,0,61.212460,58.817801,5.643314,160.459915,41.915869,0,2,4,2,0,0,101,1,1,1,69.088692,0
"6e32d3ad
",1603,1610,0,8.423696,3.031959,31.432316,10.970801,21.169758,1,2,3,2,0,0,157,1,1,1,13.114153,0
"6e32d3f6
",1604,1611,0,NaN,26.820090,34.978795,91.361455,41.862843,0,3,2,4,0,0,133,1,1,NaN,37.442226,0
"6e32d414
",1601,1607,0,57.714600,6.002568,47.348837,32.106155,2.870670,0,4,3,NaN,0,0,154,1,1,1,16.567206,0
"6e32d456
",1603,1607,0,15.523291,153.360600,32.174217,NaN,33.493852,0,NaN,4,4,0,1,7,2,0,1,163.658437,0
"6e32d460
",1603,1612,NaN,NaN,8.760628,124.305272,30.021297,15.976977,1,3,2,NaN,0,0,151,1,3,1,19.113862,0
"6e32d46a
",1603,1612,0,42.570615,5.490400,NaN,129.093289,69.237309,0,2,2,3,0,0,155,1,2,1,16.031784,0
"6e32d493
",1606,1608,0,24.684360,9.161377,NaN,81.939551,56.170727,0,2,3,4,0,0,151,1,1,1,20.134738,0
"6e32d49f
",1600,1612,0,71.753065,39.952939,NaN,18.206663,4.047991,0,4,2,2,0,0,120,1,1,1,50.871204,0
"6e32d4dd
",1606,1608,NaN,22.060342,16.090119,8.102772,146.852007,4.032337,0,2,4,2,0,0,144,1,NaN,1,26.440610,0
"6e32d4fa
",1602,1611,NaN,19.373454,105.408838,112.774373,111.202407,18.147350,1,3,3,2,0,0,55,1,1,1,116.378343,0
